segments.date,segments.device,campaign.name,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-08-01,DESKTOP,01_Core_Exact_NY,3,0,0.0,0.0,0,0.0
2026-08-01,DESKTOP,Sales-Search-1,3,1,0.3333333333333333,12180000.0,12180000,1.0
2026-08-01,MOBILE,01_Core_Exact_NY,1,0,0.0,0.0,0,0.0
2026-08-01,MOBILE,Sales-Search-1,12,3,0.25,10142941.0,30428823,1.0
2026-08-02,DESKTOP,01_Core_Exact_NY,10,2,0.2,13350000.0,26700000,0.0
2026-08-02,DESKTOP,Sales-Search-1,19,0,0.0,0.0,0,0.0
2026-08-02,MOBILE,Sales-Search-1,6,1,0.16666666666666666,9110000.0,9110000,0.0
2026-08-03,DESKTOP,01_Core_Exact_NY,11,0,0.0,0.0,0,0.0
2026-08-03,DESKTOP,Sales-Search-1,45,5,0.1111111111111111,9324000.0,46620000,0.0
2026-08-03,MOBILE,01_Core_Exact_NY,6,1,0.16666666666666666,1730000.0,1730000,0.0
2026-08-03,MOBILE,Sales-Search-1,18,0,0.0,0.0,0,0.0
2026-08-04,DESKTOP,01_Core_Exact_NY,5,1,0.2,4410000.0,4410000,0.0
2026-08-04,DESKTOP,Sales-Search-1,28,1,0.03571428571428571,14050000.0,14050000,0.0
2026-08-04,MOBILE,01_Core_Exact_NY,4,1,0.25,2760000.0,2760000,0.0
2026-08-04,MOBILE,Sales-Search-1,5,0,0.0,0.0,0,0.0
